id;Domisili;Apakah Anda Mahasiswa / Fresh Graduate;Kemampuan Karyawan ;Target Masuk Perusahaan ;Mengetahui Perusahaan ini Dari Mana?;Provinsi;Mahasiswa/Fresh Graduate;Bukan Mahasiswa;Excel;SQL;Python;Power BI;Looker Studio;Databases;Tableau;Cari Kerja;Upskill;Networking;Switch Career;Jumlah Skill;Jumlah Motivasi;Competency Level;Motivation;Skill
259;bekasi;Tidak;SQL, Python, Power BI, Databases, Tableau;Cari Kerja, Upskill, Networking, Switch Career;Teman;Jawa Barat;0;1;0;1;1;1;0;1;1;1;1;1;1;5;4;High-Potential Talent;;
260;Kota Bekasi;Ya;Excel, SQL, Python, Power BI, Databases, Tableau, ETL, Big Data, Business Inteligent, Meching Learning ;Cari Kerja, Upskill;LinkedIn;Jawa Barat;1;0;1;1;1;1;0;1;1;1;1;0;0;6;2;High-Potential Talent;;
261;Cirebon;Tidak;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Cari Kerja, Upskill, Networking, Switch Career;LinkedIn;Jawa Barat;0;1;1;1;1;1;1;1;1;1;1;1;1;7;4;High-Potential Talent;;
262;Bekasi;Ya;Python, Power BI, Looker Studio, Databases;Cari Kerja, Upskill;LinkedIn;Jawa Barat;1;0;0;0;1;1;1;1;0;1;1;0;0;4;2;Job-Ready Talent;;
263;Bogor;Tidak;Excel, SQL, Python, Looker Studio;Cari Kerja, Upskill, Networking, Switch Career;LinkedIn;Jawa Barat;0;1;1;1;1;0;1;0;0;1;1;1;1;4;4;Job-Ready Talent;;
264;Bandung Barat;Ya;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Switch Career;LinkedIn;Jawa Barat;1;0;1;1;1;1;1;1;1;0;0;0;1;7;1;High-Potential Talent;;
265;Jakarta;Tidak;Excel, SQL, Python, Power BI, Databases;Cari Kerja, Upskill, Networking, Switch Career;LinkedIn;Jakarta;0;1;1;1;1;1;0;1;0;1;1;1;1;5;4;High-Potential Talent;;
266;Yogyakarta ;Ya;Excel, SQL, Python, Power BI, Tableau;Upskill, Networking;LinkedIn;DI Yogyakarta;1;0;1;1;1;1;0;0;1;0;1;1;0;5;2;High-Potential Talent;;
267;BEKASI;Tidak;Excel, SQL, Python, Power BI;Upskill, Networking, Switch Career;Instagram;Jawa Barat;0;1;1;1;1;1;0;0;0;0;1;1;1;4;3;Job-Ready Talent;;
268;Tangerang;Ya;Excel, ;Upskill, Networking;Teman;Banten;1;0;1;0;0;0;0;0;0;0;1;1;0;1;2;Emerging Talent;;
269;Padang Panjang ;Ya;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Cari Kerja, Upskill, Networking;LinkedIn;Sumatera Barat;1;0;1;1;1;1;1;1;1;1;1;1;0;7;3;High-Potential Talent;;
270;Pontianak;Tidak;GIS;Upskill, Networking;LinkedIn;Kalimantan Barat;0;1;0;0;0;0;0;0;0;0;1;1;0;0;2;Emerging Talent;;
271;Yogyakarta;Tidak;Excel, Python;Upskill, Networking;LinkedIn;DI Yogyakarta;0;1;1;0;1;0;0;0;0;0;1;1;0;2;2;Emerging Talent;;
272;Padang;Ya;SQL, Python, Power BI, Looker Studio, Databases, Tableau;Cari Kerja, Upskill, Networking;LinkedIn;Sumatera Barat;1;0;0;1;1;1;1;1;1;1;1;1;0;6;3;High-Potential Talent;;
273;Tangerang;Tidak;Power BI, Databases, Tableau;Switch Career;LinkedIn;Banten;0;1;0;0;0;1;0;1;1;0;0;0;1;3;1;Job-Ready Talent;;
274;Kendari ;Ya;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Cari Kerja, Upskill, Networking, Switch Career;LinkedIn;Sulawesi Tenggara;1;0;1;1;1;1;1;1;1;1;1;1;1;7;4;High-Potential Talent;;
275;Makassar;Tidak;Excel, SQL, Power BI, Looker Studio, Databases, Tableau;Cari Kerja, Switch Career;LinkedIn;Sulawesi Selatan;0;1;1;1;0;1;1;1;1;1;0;0;1;6;2;High-Potential Talent;;
276;Jakarta Timur;Ya;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau, Streamlit;Cari Kerja, Upskill, Networking;LinkedIn;Jakarta;1;0;1;1;1;1;1;1;1;1;1;1;0;7;3;High-Potential Talent;;
277;Kisaran Sumatera Utara;Tidak;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Cari Kerja, Upskill, Networking, Switch Career;LinkedIn;Sumatera Utara;0;1;1;1;1;1;1;1;1;1;1;1;1;7;4;High-Potential Talent;;
278;Tangerang Selatan;Tidak;Excel, SQL, Python, Looker Studio, Databases;Cari Kerja, Upskill, Networking, Switch Career;LinkedIn;Banten;0;1;1;1;1;0;1;1;0;1;1;1;1;5;4;High-Potential Talent;;
279;Purwokerto ;Ya;Excel;Upskill;Teman;Jawa Tengah;1;0;1;0;0;0;0;0;0;0;1;0;0;1;1;Emerging Talent;;
280;Tasikmalaya;Tidak;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Upskill, Networking, Switch Career;LinkedIn;Jawa Barat;0;1;1;1;1;1;1;1;1;0;1;1;1;7;3;High-Potential Talent;;
281;Tangerang;Tidak;Power BI, Looker Studio;Cari Kerja, Switch Career;Instagram;Banten;0;1;0;0;0;1;1;0;0;1;0;0;1;2;2;Emerging Talent;;
282;Sumedang;Ya;SQL, Python, Power BI, Looker Studio, Tableau;Upskill;LinkedIn;Jawa Barat;1;0;0;1;1;1;1;0;1;0;1;0;0;5;1;High-Potential Talent;;
283;Bekasi;Tidak;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Upskill, Networking, Switch Career;LinkedIn;Jawa Barat;0;1;1;1;1;1;1;1;1;0;1;1;1;7;3;High-Potential Talent;;
284;Karawang;Ya;Excel, SQL, Python, Power BI, Looker Studio, Tableau;Cari Kerja, Upskill, Networking;LinkedIn;Jawa Barat;1;0;1;1;1;1;1;0;1;1;1;1;0;6;3;High-Potential Talent;;
285;Pekanbaru;Ya;Excel, SQL, Python, Power BI, Databases, Tableau;Cari Kerja, Upskill;LinkedIn;Riau;1;0;1;1;1;1;0;1;1;1;1;0;0;6;2;High-Potential Talent;;
286;Bandung, Jawa Barat;Ya;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Cari Kerja, Upskill, Networking;LinkedIn;Jawa Barat;1;0;1;1;1;1;1;1;1;1;1;1;0;7;3;High-Potential Talent;;
287;Kalimantan Timur;Tidak;Excel, Python, Power BI, Databases, Tableau;Upskill;LinkedIn;Kalimantan Timur;0;1;1;0;1;1;0;1;1;0;1;0;0;5;1;High-Potential Talent;;
288;Bekasi;Tidak;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Cari Kerja, Upskill, Networking, Switch Career;Teman;Jawa Barat;0;1;1;1;1;1;1;1;1;1;1;1;1;7;4;High-Potential Talent;;
289;Depok;Tidak;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Cari Kerja, Upskill, Networking;LinkedIn;Jawa Barat;0;1;1;1;1;1;1;1;1;1;1;1;0;7;3;High-Potential Talent;;
290;Depok;Tidak;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau, Cloud Computing ;Cari Kerja, Upskill, Networking;LinkedIn;Jawa Barat;0;1;1;1;1;1;1;1;1;1;1;1;0;7;3;High-Potential Talent;;
291;Banyuwangi, Jawa Timur;Ya;SQL, Python, Power BI, Databases;Cari Kerja, Networking;Teman;Jawa Timur;1;0;0;1;1;1;0;1;0;1;0;1;0;4;2;Job-Ready Talent;;
292;Yogyakarta;Ya;Excel, SQL, Python, Power BI, Looker Studio;Cari Kerja, Upskill, Networking;LinkedIn;DI Yogyakarta;1;0;1;1;1;1;1;0;0;1;1;1;0;5;3;High-Potential Talent;;
293;Madiun;Tidak;Excel, SQL, Python, Power BI, Tableau;Upskill, Networking, Switch Career;LinkedIn;Jawa Timur;0;1;1;1;1;1;0;0;1;0;1;1;1;5;3;High-Potential Talent;;
294;Sidoarjo;Tidak;Power BI, Looker Studio, Databases, Tableau;Upskill, Switch Career;LinkedIn;Jawa Timur;0;1;0;0;0;1;1;1;1;0;1;0;1;4;2;Job-Ready Talent;;
295;Depok;Tidak;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Upskill, Networking, Switch Career;LinkedIn;Jawa Barat;0;1;1;1;1;1;1;1;1;0;1;1;1;7;3;High-Potential Talent;;
296;Jakarta;Ya;Python, Databases;Upskill;LinkedIn;Jakarta;1;0;0;0;1;0;0;1;0;0;1;0;0;2;1;Emerging Talent;;
297;Bandung Barat;Ya;Excel, SQL, Python, Power BI;Cari Kerja, Upskill;LinkedIn;Jawa Barat;1;0;1;1;1;1;0;0;0;1;1;0;0;4;2;Job-Ready Talent;;
298;Depok;Tidak;SQL, Python, Power BI, Looker Studio, Databases, Tableau;Cari Kerja, Upskill, Networking, Switch Career;LinkedIn;Jawa Barat;0;1;0;1;1;1;1;1;1;1;1;1;1;6;4;High-Potential Talent;;
299;Surabaya;Tidak;SQL, Python, Power BI, Looker Studio, Tableau;Upskill;LinkedIn;Jawa Timur;0;1;0;1;1;1;1;0;1;0;1;0;0;5;1;High-Potential Talent;;
300;Tangerang Selatan;Ya;Excel, SQL, Python, Power BI, Databases;Cari Kerja, Upskill, Networking;LinkedIn;Banten;1;0;1;1;1;1;0;1;0;1;1;1;0;5;3;High-Potential Talent;;
301;Tangerang Selatan;Tidak;Excel, SQL, Python, Power BI, Databases;Cari Kerja, Upskill, Networking;LinkedIn;Banten;0;1;1;1;1;1;0;1;0;1;1;1;0;5;3;High-Potential Talent;;
302;Bekasi;Ya;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Cari Kerja, Upskill, Networking;LinkedIn;Jawa Barat;1;0;1;1;1;1;1;1;1;1;1;1;0;7;3;High-Potential Talent;;
303;Kota Depok;Tidak;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Upskill, Switch Career;LinkedIn;Jawa Barat;0;1;1;1;1;1;1;1;1;0;1;0;1;7;2;High-Potential Talent;;
304;Tangerang;Tidak;Excel, SQL, Python, Power BI, Tableau;Upskill, Networking;LinkedIn;Banten;0;1;1;1;1;1;0;0;1;0;1;1;0;5;2;High-Potential Talent;;
305;Harapan Indah;Tidak;Excel, Python, Power BI;Upskill;Teman;Jawa Barat;0;1;1;0;1;1;0;0;0;0;1;0;0;3;1;Job-Ready Talent;;
306;Surabaya;Tidak;SQL, Tableau, AI automation, RAG, LLM ;Cari Kerja, Networking;LinkedIn;Jawa Timur;0;1;0;1;0;0;0;0;1;1;0;1;0;2;2;Emerging Talent;;
307;Surabaya;Ya;Excel, SQL, Python, Databases, Tableau;Cari Kerja, Upskill, Networking, Switch Career;LinkedIn;Jawa Timur;1;0;1;1;1;0;0;1;1;1;1;1;1;5;4;High-Potential Talent;;
308;Sukoharjo ;Tidak;Python, Databases;Upskill;LinkedIn;Jawa Tengah;0;1;0;0;1;0;0;1;0;0;1;0;0;2;1;Emerging Talent;;
309;Jakarta;Tidak;SQL, Python, Power BI, Looker Studio, Databases, Tableau;Cari Kerja, Upskill, Networking, Switch Career;LinkedIn;Jakarta;0;1;0;1;1;1;1;1;1;1;1;1;1;6;4;High-Potential Talent;;
310;Medan;Tidak;Power BI, Tableau;Cari Kerja, Networking;Instagram;Sumatera Utara;0;1;0;0;0;1;0;0;1;1;0;1;0;2;2;Emerging Talent;;
311;Jakarta Timur;Tidak;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Cari Kerja, Upskill, Networking;LinkedIn;Jakarta;0;1;1;1;1;1;1;1;1;1;1;1;0;7;3;High-Potential Talent;;
312;Mataram;Tidak;SQL, Python, Databases, Tableau;Cari Kerja, Networking;LinkedIn;Nusa Tenggara Barat;0;1;0;1;1;0;0;1;1;1;0;1;0;4;2;Job-Ready Talent;;
313;Bekasi;Ya;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Cari Kerja, Upskill, Networking, Switch Career;LinkedIn;Jawa Barat;1;0;1;1;1;1;1;1;1;1;1;1;1;7;4;High-Potential Talent;;
314;Bekasi;Ya;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Cari Kerja, Upskill, Networking, Switch Career;LinkedIn;Jawa Barat;1;0;1;1;1;1;1;1;1;1;1;1;1;7;4;High-Potential Talent;;
315;Bekasi;Ya;Excel, SQL, Python, Power BI, Looker Studio, Databases, ;Cari Kerja, Upskill, Switch Career;Teman;Jawa Barat;1;0;1;1;1;1;1;1;0;1;1;0;1;6;3;High-Potential Talent;;
316;Palembang;Tidak;Excel;Cari Kerja, Upskill, Networking, Switch Career;LinkedIn;Sumatera Selatan;0;1;1;0;0;0;0;0;0;1;1;1;1;1;4;Emerging Talent;;
317;Tangerang;Ya;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Upskill, Networking;Instagram;Banten;1;0;1;1;1;1;1;1;1;0;1;1;0;7;2;High-Potential Talent;;
318;Bandung;Tidak;SQL, Python, Power BI, Looker Studio, Databases, Tableau;Switch Career;LinkedIn;Jawa Barat;0;1;0;1;1;1;1;1;1;0;0;0;1;6;1;High-Potential Talent;;
319;Jakarta Selatan;Ya;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau, HTML, CSS, C, JAVASCRIPT;Upskill, Networking;Teman;Jakarta;1;0;1;1;1;1;1;1;1;0;1;1;0;7;2;High-Potential Talent;;
320;Palu;Tidak;Power BI;Upskill;LinkedIn;Sulawesi Tengah;0;1;0;0;0;1;0;0;0;0;1;0;0;1;1;Emerging Talent;;
321;Kuningan;Ya;Excel, SQL, Python, Looker Studio, Tableau;Cari Kerja, Networking;LinkedIn;Jawa Barat;1;0;1;1;1;0;1;0;1;1;0;1;0;5;2;High-Potential Talent;;
322;Sumatera Selatan;Tidak;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Upskill, Networking, Switch Career;LinkedIn;Sumatera Selatan;0;1;1;1;1;1;1;1;1;0;1;1;1;7;3;High-Potential Talent;;
323;Depok;Ya;Excel, SQL, Python, Power BI, Databases, Tableau;Cari Kerja, Networking, Switch Career;LinkedIn;Jawa Barat;1;0;1;1;1;1;0;1;1;1;0;1;1;6;3;High-Potential Talent;;
324;Bandung;Ya;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Cari Kerja, Upskill, Networking, Switch Career;LinkedIn;Jawa Barat;1;0;1;1;1;1;1;1;1;1;1;1;1;7;4;High-Potential Talent;;
325;Surabaya;Ya;Excel, SQL, Python, Power BI, Looker Studio, Tableau;Cari Kerja, Upskill, Networking;LinkedIn;Jawa Timur;1;0;1;1;1;1;1;0;1;1;1;1;0;6;3;High-Potential Talent;;
326;Jakarta;Tidak;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Cari Kerja, Upskill, Networking, Switch Career;Teman;Jakarta;0;1;1;1;1;1;1;1;1;1;1;1;1;7;4;High-Potential Talent;;
327;Rokan Hilir, riau;Tidak;Excel, SQL, Python, Power BI;Cari Kerja, Upskill, Networking, Switch Career;LinkedIn;Riau;0;1;1;1;1;1;0;0;0;1;1;1;1;4;4;Job-Ready Talent;;
328;Kendari;Tidak;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Cari Kerja, Upskill, Networking, Switch Career;Instagram;Sulawesi Tenggara;0;1;1;1;1;1;1;1;1;1;1;1;1;7;4;High-Potential Talent;;
329;Surabaya;Ya;Excel, SQL, Python, Power BI, Databases;Cari Kerja, Upskill, Networking;LinkedIn;Jawa Timur;1;0;1;1;1;1;0;1;0;1;1;1;0;5;3;High-Potential Talent;;
330;Bogor;Ya;Excel, SQL, Power BI;Cari Kerja, Upskill, Networking, Switch Career;LinkedIn;Jawa Barat;1;0;1;1;0;1;0;0;0;1;1;1;1;3;4;Job-Ready Talent;;
331;Tangerang;Ya;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Cari Kerja, Upskill, Networking;LinkedIn;Banten;1;0;1;1;1;1;1;1;1;1;1;1;0;7;3;High-Potential Talent;;
332;Kalsel;Tidak;Excel, Power BI, Looker Studio, Databases;Upskill, Networking;LinkedIn;Kalimantan Selatan;0;1;1;0;0;1;1;1;0;0;1;1;0;4;2;Job-Ready Talent;;
333;Lampung;Ya;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Cari Kerja, Upskill, Networking;LinkedIn;Lampung;1;0;1;1;1;1;1;1;1;1;1;1;0;7;3;High-Potential Talent;;
334;kota padang;Ya;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Upskill, Networking, Switch Career;LinkedIn;Sumatera Barat;1;0;1;1;1;1;1;1;1;0;1;1;1;7;3;High-Potential Talent;;
335;Jakarta;Tidak;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Cari Kerja, Switch Career;LinkedIn;Jakarta;0;1;1;1;1;1;1;1;1;1;0;0;1;7;2;High-Potential Talent;;
336;Bekasi;Tidak;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Cari Kerja, Upskill, Networking;LinkedIn;Jawa Barat;0;1;1;1;1;1;1;1;1;1;1;1;0;7;3;High-Potential Talent;;
337;Palembang;Ya;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Upskill, Switch Career;LinkedIn;Sumatera Selatan;1;0;1;1;1;1;1;1;1;0;1;0;1;7;2;High-Potential Talent;;
338;Jakarta Barat;Ya;Excel, SQL, Python, Databases;Cari Kerja, Upskill, Networking, Switch Career;LinkedIn;Jakarta;1;0;1;1;1;0;0;1;0;1;1;1;1;4;4;Job-Ready Talent;;
339;Pasuruan;Ya;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Cari Kerja, Upskill, Networking;LinkedIn;Jawa Timur;1;0;1;1;1;1;1;1;1;1;1;1;0;7;3;High-Potential Talent;;
340;Jakarta;Tidak;Excel, SQL, Python, Power BI, Looker Studio, Databases;Cari Kerja, Upskill, Networking, Switch Career;LinkedIn;Jakarta;0;1;1;1;1;1;1;1;0;1;1;1;1;6;4;High-Potential Talent;;
341;Jakarta Timur;Ya;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Cari Kerja, Upskill, Networking;LinkedIn;Jakarta;1;0;1;1;1;1;1;1;1;1;1;1;0;7;3;High-Potential Talent;;
342;Batam;Tidak;Excel, SQL, Python, Power BI, Tableau;Cari Kerja, Networking;LinkedIn;Riau;0;1;1;1;1;1;0;0;1;1;0;1;0;5;2;High-Potential Talent;;
343;Bandung;Ya;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Cari Kerja, Upskill, Networking;Teman;Jawa Barat;1;0;1;1;1;1;1;1;1;1;1;1;0;7;3;High-Potential Talent;;
344;Jakarta Barat;Ya;SQL, Python, Power BI, Looker Studio, Databases, Tableau;Cari Kerja, Upskill, Networking, Switch Career;LinkedIn;Jakarta;1;0;0;1;1;1;1;1;1;1;1;1;1;6;4;High-Potential Talent;;
345;Salatiga;Ya;Excel, SQL, Python, Power BI, Looker Studio;Cari Kerja, Upskill, Networking, Switch Career;LinkedIn;Jawa Tengah;1;0;1;1;1;1;1;0;0;1;1;1;1;5;4;High-Potential Talent;;
346;Solo;Ya;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Cari Kerja, Upskill, Networking;LinkedIn;Jawa Tengah;1;0;1;1;1;1;1;1;1;1;1;1;0;7;3;High-Potential Talent;;
347;Mojokerto;Ya;Excel, SQL, Python;Cari Kerja, Upskill, Networking, Switch Career;Teman;Jawa Timur;1;0;1;1;1;0;0;0;0;1;1;1;1;3;4;Job-Ready Talent;;
348;Jakarta;Tidak;Excel, Power BI, Looker Studio;Upskill, Networking, Switch Career;LinkedIn;Jakarta;0;1;1;0;0;1;1;0;0;0;1;1;1;3;3;Job-Ready Talent;;
349;Tangerang Selatan;Tidak;SQL, Power BI, Looker Studio, Databases, Tableau;Upskill, Networking, Switch Career;LinkedIn;Banten;0;1;0;1;0;1;1;1;1;0;1;1;1;5;3;High-Potential Talent;;
350;Surabaya;Tidak;SQL, Python, Power BI;Upskill, Switch Career;LinkedIn;Jawa Timur;0;1;0;1;1;1;0;0;0;0;1;0;1;3;2;Job-Ready Talent;;
351;Tangerang;Ya;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Upskill, Networking;LinkedIn;Banten;1;0;1;1;1;1;1;1;1;0;1;1;0;7;2;High-Potential Talent;;
352;Banyuwangi;Ya;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Cari Kerja, Upskill, Networking, Switch Career;LinkedIn;Jawa Timur;1;0;1;1;1;1;1;1;1;1;1;1;1;7;4;High-Potential Talent;;
353;Banyuwangi ;Ya;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Upskill;Instagram;Jawa Timur;1;0;1;1;1;1;1;1;1;0;1;0;0;7;1;High-Potential Talent;;
354;Sumatera Utara;Tidak;Excel, SQL, Python, Tableau;Cari Kerja, Upskill, Networking;LinkedIn;Sumatera Utara;0;1;1;1;1;0;0;0;1;1;1;1;0;4;3;Job-Ready Talent;;
355;Jakarta;Ya;SQL, Python, Power BI, Databases, Tableau;Cari Kerja, Upskill, Networking, Switch Career;LinkedIn;Jakarta;1;0;0;1;1;1;0;1;1;1;1;1;1;5;4;High-Potential Talent;;
356;Surabaya;Tidak;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Upskill, Networking, Switch Career;LinkedIn;Jawa Timur;0;1;1;1;1;1;1;1;1;0;1;1;1;7;3;High-Potential Talent;;
357;Sidoarjo;Ya;SQL, Python, Looker Studio, Databases, Tableau;Upskill;LinkedIn;Jawa Timur;1;0;0;1;1;0;1;1;1;0;1;0;0;5;1;High-Potential Talent;;
358;Jakarta Barat;Tidak;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Upskill;LinkedIn;Jakarta;0;1;1;1;1;1;1;1;1;0;1;0;0;7;1;High-Potential Talent;;
359;Yogyakarta;Ya;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Cari Kerja, Upskill, Networking, Switch Career;Instagram;DI Yogyakarta;1;0;1;1;1;1;1;1;1;1;1;1;1;7;4;High-Potential Talent;;
360;Bogor;Ya;Excel, SQL, Python, Power BI, Databases, Tableau;Cari Kerja, Upskill, Networking;LinkedIn;Jawa Barat;1;0;1;1;1;1;0;1;1;1;1;1;0;6;3;High-Potential Talent;;
361;Malang;Tidak;SQL, Python, Power BI, Databases, Tableau;Cari Kerja, Upskill, Networking, Switch Career;LinkedIn;Jawa Timur;0;1;0;1;1;1;0;1;1;1;1;1;1;5;4;High-Potential Talent;;
362;Yogyakarta;Tidak;SQL, Python, Databases;Cari Kerja, Upskill, Networking;LinkedIn;DI Yogyakarta;0;1;0;1;1;0;0;1;0;1;1;1;0;3;3;Job-Ready Talent;;
363;Cirebon;Tidak;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Cari Kerja, Upskill, Networking, Switch Career;LinkedIn;Jawa Barat;0;1;1;1;1;1;1;1;1;1;1;1;1;7;4;High-Potential Talent;;
364;Sumatra Selatan;Ya;Excel, SQL, Python, Power BI, Looker Studio, Databases;Cari Kerja, Upskill, Networking;LinkedIn;Sumatra Selatan;1;0;1;1;1;1;1;1;0;1;1;1;0;6;3;High-Potential Talent;;
365;Kota Bengkulu;Ya;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau, Pandas;Cari Kerja, Upskill, Networking, Switch Career;LinkedIn;Bengkulu;1;0;1;1;1;1;1;1;1;1;1;1;1;7;4;High-Potential Talent;;
366;Lombok;Ya;Excel, SQL, Python, Power BI;Cari Kerja, Upskill, Networking;Teman;Nusa Tenggara Barat;1;0;1;1;1;1;0;0;0;1;1;1;0;4;3;Job-Ready Talent;;
367;Banjarmasin;Tidak;Excel, Power BI, Looker Studio, Databases, Tableau;Upskill;LinkedIn;Kalimantan Selatan;0;1;1;0;0;1;1;1;1;0;1;0;0;5;1;High-Potential Talent;;
368;Bekasi;Ya;Excel, SQL, Python, Power BI, Databases, Tableau;Upskill, Networking, Switch Career;LinkedIn;Jawa Barat;1;0;1;1;1;1;0;1;1;0;1;1;1;6;3;High-Potential Talent;;
369;Surabaya;Tidak;SQL, Python, Power BI, Looker Studio, Databases, Tableau;Cari Kerja, Upskill, Networking, Switch Career;LinkedIn;Jawa Timur;0;1;0;1;1;1;1;1;1;1;1;1;1;6;4;High-Potential Talent;;
370;Bogor;Ya;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Switch Career;LinkedIn;Jawa Barat;1;0;1;1;1;1;1;1;1;0;0;0;1;7;1;High-Potential Talent;;
371;Jakarta Pusat;Tidak;Excel, Power BI, Looker Studio, Databases;Upskill, Networking;LinkedIn;Jakarta;0;1;1;0;0;1;1;1;0;0;1;1;0;4;2;Job-Ready Talent;;
372;Jakarta;Tidak;-;Networking;LinkedIn;Jakarta;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;Emerging Talent;;
373;Samarinda;Ya;Excel, SQL, Python;Cari Kerja, Upskill, Networking;LinkedIn;Kalimantan Timur;1;0;1;1;1;0;0;0;0;1;1;1;0;3;3;Job-Ready Talent;;
374;Karawang;Ya;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Cari Kerja, Upskill, Networking;LinkedIn;Jawa Barat;1;0;1;1;1;1;1;1;1;1;1;1;0;7;3;High-Potential Talent;;
375;Balikpapan;Tidak;Excel, SQL, Python, Power BI, Databases;Upskill, Networking;LinkedIn;Kalimantan Timur;0;1;1;1;1;1;0;1;0;0;1;1;0;5;2;High-Potential Talent;;
376;Jakarta;Ya;Excel, SQL, Python, Power BI, Databases, Tableau;Upskill, Networking, Switch Career;LinkedIn;Jakarta;1;0;1;1;1;1;0;1;1;0;1;1;1;6;3;High-Potential Talent;;
377;Tangerang;Tidak;Power BI, Looker Studio, Databases, Tableau;Cari Kerja, Upskill, Networking;LinkedIn;Banten;0;1;0;0;0;1;1;1;1;1;1;1;0;4;3;Job-Ready Talent;;
378;Tangerang;Tidak;Databases;Cari Kerja, Upskill, Networking;LinkedIn;Banten;0;1;0;0;0;0;0;1;0;1;1;1;0;1;3;Emerging Talent;;
379;Sragen;Ya;Excel, SQL, Python, Looker Studio, Databases;Cari Kerja, Upskill, Networking;LinkedIn;Jawa Tengah;1;0;1;1;1;0;1;1;0;1;1;1;0;5;3;High-Potential Talent;;
380;Sragen;Ya;Excel, SQL, Python;Cari Kerja, Upskill;LinkedIn;Jawa Tengah;1;0;1;1;1;0;0;0;0;1;1;0;0;3;2;Job-Ready Talent;;
381;Sleman;Tidak;SQL, Python, Power BI, Looker Studio;Upskill, Networking;LinkedIn;DI Yogyakarta;0;1;0;1;1;1;1;0;0;0;1;1;0;4;2;Job-Ready Talent;;
382;Bukittinggi;Tidak;Python, Knime;Upskill;LinkedIn;Sumatera Barat;0;1;0;0;1;0;0;0;0;0;1;0;0;1;1;Emerging Talent;;
383;Jakarta Selatan;Tidak;Excel, SQL, Power BI, Databases, Tableau;Cari Kerja, Upskill;LinkedIn;Jakarta;0;1;1;1;0;1;0;1;1;1;1;0;0;5;2;High-Potential Talent;;
384;Pekanbaru;Ya;Power BI, Looker Studio, Tableau;Cari Kerja, Upskill, Networking, Switch Career;LinkedIn;Riau;1;0;0;0;0;1;1;0;1;1;1;1;1;3;4;Job-Ready Talent;;
385;Jakarta Timur;Tidak;Excel, SQL, Python, Databases;Upskill;LinkedIn;Jakarta;0;1;1;1;1;0;0;1;0;0;1;0;0;4;1;Job-Ready Talent;;
386;Tangerang Selatan;Ya;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;Cari Kerja, Upskill, Networking;LinkedIn;Banten;1;0;1;1;1;1;1;1;1;1;1;1;0;7;3;High-Potential Talent;;
